task_text,task_type,input_data
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Машинное обучение и анализ"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Алгоритмы данных"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Python простой язык"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Учебное задание по Python"

Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[1, 2, 3, 4, 5, 6]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[10, 15, 20, 25]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[7, 9, 11]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[0, 1, 2]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[8, 6, 4, 3, 1]"

Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[3, 1, 4, 2]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[10, 5, 7]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[-1, -5, 0]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[9]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[2, 2, 1, 3]"

Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['cat', 'horse', 'elephant']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['one', 'two', 'three']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['a', 'ab', 'abcd']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['тест', 'пример', 'код']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['x', 'yy', 'zzz', 'wwww']"

Дан словарь data. Создайте список всех значений.,dict_values_list,"{'a': 1, 'b': 2, 'c': 3}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'x': 10, 'y': 20}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'one': 1}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'p': 5, 'q': 15, 'r': 25}"

